"experiment","round","tank","group_id","date","t_leave_s","t_l0_s","l0","reef_l0","l1","reef_l1","legs_l0","claws_l0","antenna_l0","legs_l1","claws_l1","antenna_l1","notes_exp","koura_id","size_class","sex","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"Group",2,2,1,2025-09-09,NA,NA,"E","TankWall","B","FlatStone",8,2,2,8,2,2,NA,41,"L","M",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,2,1,2025-09-09,NA,NA,"B","FlatStone","A","StonePile",8,2,2,8,2,2,NA,42,"L","M",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,3,2,2025-09-09,NA,NA,"C","FlatStone","C","FlatStone",8,1,2,8,1,2,NA,43,"S","M",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,3,2,2025-09-09,NA,NA,"A","SingleStone","C","FlatStone",7,2,2,7,2,2,NA,74,"S","M",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,3,2,2025-09-09,NA,NA,"A","SingleStone","D","WoodLog",8,1,2,8,1,2,NA,45,"M","M",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,3,2,2025-09-09,NA,NA,"A","SingleStone","C","FlatStone",7,2,2,7,2,2,NA,46,"M","M",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,3,2,2025-09-09,NA,NA,"C","FlatStone","B","StonePile",8,2,2,8,2,2,NA,47,"L","M",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
"Group",2,3,2,2025-09-09,NA,NA,"B","StonePile","D","WoodLog",8,2,2,8,2,2,NA,48,"L","M",35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,4,3,2025-09-09,NA,NA,"A","StonePile","D","FlatStone",6,2,2,6,2,2,NA,49,"S","M",21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,4,3,2025-09-09,NA,NA,"B","SingleStone","C","WoodLog",5,1,2,5,1,2,NA,79,"S","M",20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,4,3,2025-09-09,NA,NA,"E","TankWall","B","SingleStone",8,1,2,7,1,2,NA,51,"M","M",23.49,8,8,1,NA,25.56,12,7,2,2,2025-09-11,"Moulted"
"Group",2,4,3,2025-09-09,NA,NA,"B","SingleStone","A","StonePile",5,0,2,4,0,2,NA,52,"M","M",25.55,10,6,1,2,NA,NA,NA,NA,NA,2025-09-04,"Moulted"
"Group",2,4,3,2025-09-09,NA,NA,"C","WoodLog","D","FlatStone",8,2,2,8,2,2,NA,53,"L","M",30.72,20,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,4,3,2025-09-09,NA,NA,"D","FlatStone","B","SingleStone",8,2,2,8,2,2,NA,54,"L","M",43.34,57,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,5,4,2025-09-09,NA,NA,"B","SingleStone","C","FlatStone",5,2,2,5,2,2,NA,55,"S","M",18.26,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,5,4,2025-09-09,NA,NA,"A","StonePile","C","FlatStone",8,2,2,8,2,2,NA,83,"S","M",20.93,4,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,5,4,2025-09-09,NA,NA,"C","FlatStone","C","FlatStone",8,2,2,8,2,2,NA,57,"M","M",24.22,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,5,4,2025-09-09,NA,NA,"B","SingleStone","D","WoodLog",8,2,2,8,2,2,NA,58,"M","M",27.18,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,5,4,2025-09-09,NA,NA,"A","StonePile","B","SingleStone",8,2,2,8,2,2,NA,59,"L","M",31.65,23,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,5,4,2025-09-09,NA,NA,"A","StonePile","A","StonePile",8,2,2,8,2,2,NA,60,"L","M",35.61,28,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,6,5,2025-09-09,NA,NA,"D","SingleStone","D","SingleStone",6,2,1,6,2,1,NA,61,"S","M",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,6,5,2025-09-09,NA,NA,"C","StonePile","B","FlatStone",4,1,1,4,1,1,NA,86,"S","M",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,6,5,2025-09-09,NA,NA,"C","StonePile","B","FlatStone",8,2,1,8,2,1,NA,63,"M","M",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
"Group",2,6,5,2025-09-09,NA,NA,"A","WoodLog","B","FlatStone",5,2,2,5,2,2,NA,64,"M","M",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,6,5,2025-09-09,NA,NA,"A","WoodLog","A","WoodLog",8,2,2,8,2,2,NA,65,"L","M",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,6,5,2025-09-09,NA,NA,"B","FlatStone","C","StonePile",8,2,2,8,2,2,NA,66,"L","M",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,1,5,2025-09-10,NA,NA,"A","FlatStone","A","FlatStone",6,2,1,6,2,1,NA,61,"S","M",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,1,5,2025-09-10,NA,NA,"C","WoodLog","A","FlatStone",4,1,1,4,1,1,NA,86,"S","M",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,1,5,2025-09-10,NA,NA,"A","FlatStone","B","StonePile",8,2,1,8,2,1,NA,63,"M","M",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
"Group",3,1,5,2025-09-10,NA,NA,"C","WoodLog","B","StonePile",5,2,2,5,2,2,NA,64,"M","M",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,1,5,2025-09-10,NA,NA,"B","StonePile","B","StonePile",8,2,2,8,2,2,NA,65,"L","M",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,1,5,2025-09-10,NA,NA,"A","FlatStone","C","WoodLog",8,2,2,8,2,2,NA,66,"L","M",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,2,6,2025-09-10,NA,NA,"B","FlatStone","B","FlatStone",7,2,2,7,1,2,"1 claw felt off by me",67,"S","M",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,2,6,2025-09-10,NA,NA,"D","SingleStone","C","WoodLog",8,2,2,8,2,2,NA,88,"S","M",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
"Group",3,2,6,2025-09-10,NA,NA,"B","FlatStone","C","WoodLog",8,2,2,8,2,2,NA,69,"M","M",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,2,6,2025-09-10,NA,NA,"D","SingleStone","B","FlatStone",8,2,2,8,2,2,NA,70,"M","M",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,2,6,2025-09-10,NA,NA,"A","StonePile","A","StonePile",8,2,2,8,2,2,NA,71,"L","M",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,2,6,2025-09-10,NA,NA,"A","StonePile","D","SingleStone",8,2,2,8,2,2,NA,72,"L","M",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,3,1,2025-09-10,NA,NA,"A","FlatStone","C","SingleStone",8,2,2,8,2,2,NA,37,"S","M",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,3,1,2025-09-10,NA,NA,"E","TankWall","A","FlatStone",8,2,2,8,2,2,NA,73,"S","M",21.15,6,8,2,2,NA,NA,NA,NA,NA,2025-09-04,"Moulted, Lost last round of exp 3"
"Group",3,3,1,2025-09-10,NA,NA,"E","TankWall","C","SingleStone",8,2,2,8,2,2,NA,39,"M","M",28.79,15,8,2,2,NA,NA,NA,NA,NA,2025-09-08,"Moulted"
"Group",3,3,1,2025-09-10,NA,NA,"D","WoodLog","B","StonePile",6,2,2,6,1,2,NA,40,"M","M",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,3,1,2025-09-10,NA,NA,"D","WoodLog","A","FlatStone",8,2,2,8,2,2,NA,41,"L","M",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,3,1,2025-09-10,NA,NA,"B","StonePile","A","FlatStone",8,2,2,8,2,2,NA,42,"L","M",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,4,2,2025-09-10,NA,NA,"A","FlatStone","C","StonePile",8,1,2,8,1,2,NA,43,"S","M",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,4,2,2025-09-10,NA,NA,"B","WoodLog","C","StonePile",7,2,2,7,2,2,NA,74,"S","M",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,4,2,2025-09-10,NA,NA,"B","WoodLog","A","FlatStone",8,1,2,8,1,2,NA,45,"M","M",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,4,2,2025-09-10,NA,NA,"D","SingleStone","B","WoodLog",7,2,2,7,2,2,NA,46,"M","M",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,4,2,2025-09-10,NA,NA,"C","StonePile","A","FlatStone",8,2,2,8,2,2,NA,47,"L","M",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
"Group",3,4,2,2025-09-10,NA,NA,"D","SingleStone","B","WoodLog",8,2,2,8,2,2,NA,48,"L","M",35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,5,3,2025-09-10,NA,NA,"C","SingleStone","A","FlatStone",6,2,2,6,2,2,NA,49,"S","M",21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,5,3,2025-09-10,NA,NA,"D","StonePile","A","FlatStone",5,1,2,5,1,2,NA,79,"S","M",20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,5,3,2025-09-10,NA,NA,"A","FlatStone","D","StonePile",7,1,2,7,2,2,"Moulted skin found in FlatStone",51,"M","M",23.49,8,8,1,NA,25.56,12,7,2,2,2025-09-11,"Moulted"
"Group",3,5,3,2025-09-10,NA,NA,"A","FlatStone","A","FlatStone",4,0,2,4,0,2,NA,52,"M","M",25.55,10,6,1,2,NA,NA,NA,NA,NA,2025-09-04,"Moulted"
"Group",3,5,3,2025-09-10,NA,NA,"A","FlatStone","C","SingleStone",8,2,2,8,2,2,NA,53,"L","M",30.72,20,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,5,3,2025-09-10,NA,NA,"A","FlatStone","A","FlatStone",8,2,2,8,2,2,NA,54,"L","M",43.34,57,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,6,4,2025-09-10,NA,NA,"A","WoodLog","C","FlatStone",5,2,2,4,0,2,"Claws broke off by me",55,"S","M",18.26,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,6,4,2025-09-10,NA,NA,"C","FlatStone","B","StonePile",8,2,2,8,2,2,NA,83,"S","M",20.93,4,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,6,4,2025-09-10,NA,NA,"C","FlatStone","D","SingleStone",8,2,2,8,2,2,NA,57,"M","M",24.22,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,6,4,2025-09-10,NA,NA,"C","FlatStone","A","WoodLog",8,2,2,8,2,2,NA,58,"M","M",27.18,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",3,6,4,2025-09-10,NA,NA,"C","FlatStone","B","StonePile",8,2,2,8,2,2,NA,59,"L","M",31.65,23,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",3,6,4,2025-09-10,NA,NA,"C","FlatStone","C","FlatStone",8,2,2,8,2,2,NA,60,"L","M",35.61,28,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,1,4,2025-09-11,NA,NA,"C","WoodLog","B","FlatStone",3,0,2,3,0,2,NA,55,"S","M",18.26,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",4,1,4,2025-09-11,NA,NA,"E","TankWall","B","FlatStone",8,2,2,8,2,2,NA,83,"S","M",20.93,4,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",4,1,4,2025-09-11,NA,NA,"D","StonePile","D","StonePile",8,2,2,8,2,2,NA,57,"M","M",24.22,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA
