"experiment","round","tank","group_id","date","next_day","structure_next_day","notes_exp","koura_id","old_id","sex","size_class","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"Brick",4,3,8,2025-10-17,"B","ConcreteBrick",NA,17,23,"M","M",24.15,8,4,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,3,8,2025-10-17,"D","WoodBlock",NA,18,NA,"M","S",20.91,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,3,8,2025-10-17,"B","ConcreteBrick",NA,19,17,"F","M",25.35,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,3,8,2025-10-17,"A","WoodBlock",NA,20,14,"F","M",26.52,11,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,4,9,2025-10-17,"E","TankWall",NA,21,NA,"M","M",25.39,9,7,2,2,NA,NA,NA,NA,NA,"15/10/25",NA
"Brick",4,4,9,2025-10-17,"C","WoodBlock",NA,22,NA,"M","M",28.55,17,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,4,9,2025-10-17,"C","WoodBlock",NA,23,9,"M","M",24.46,10,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,4,9,2025-10-17,"E","TankWall",NA,24,NA,"M","M",28.59,15,8,1,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,4,9,2025-10-17,"C","WoodBlock",NA,25,30,"M","M",26.55,13,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,4,9,2025-10-17,"D","ConcreteBrick",NA,26,NA,"M","M",23.62,8,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,4,9,2025-10-17,"A","ConcreteBrick",NA,27,NA,"M","M",26.75,13,5,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,4,9,2025-10-17,"A","ConcreteBrick",NA,28,NA,"M","M",29.36,17,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,4,9,2025-10-17,"B","WoodBlock",NA,29,11,"M","M",29.46,17,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,4,9,2025-10-17,"B","WoodBlock",NA,30,33,"M","M",26.95,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",4,5,10,2025-10-17,"B","ConcreteBrick",NA,31,51,"M","M",26.11,12,7,0,1,NA,NA,NA,NA,NA,NA,NA
