"experiment","round","tank","group_id","date","l0","structure_l0","l1","structure_l1","notes_exp","koura_id","size_class","sex","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"FlatStone_WoodSplit",2,3,2,NA,"B","WoodSplit","B","WoodSplit",NA,74,"S","M",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,3,2,NA,"A","FlatStone","A","FlatStone",NA,45,"M","M",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,3,2,NA,"A","FlatStone","B","WoodSplit",NA,46,"M","M",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,3,2,NA,"A","FlatStone","A","FlatStone",NA,47,"L","M",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
"FlatStone_WoodSplit",2,3,2,NA,"B","WoodSplit","A","FlatStone",NA,48,"L","M",35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,4,3,NA,"A","FlatStone","B","WoodSplit",NA,49,"S","M",21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,4,3,NA,"A","FlatStone","A","FlatStone",NA,79,"S","M",20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,4,3,NA,"E","TankWall","A","FlatStone",NA,51,"M","M",25.56,12,7,2,2,NA,NA,NA,NA,NA,2025-09-11,"Moulted"
"FlatStone_WoodSplit",2,4,3,NA,"B","WoodSplit","B","WoodSplit",NA,52,"M","M",25.55,10,6,1,2,NA,NA,NA,NA,NA,2025-09-04,"Moulted"
"FlatStone_WoodSplit",2,4,3,NA,"A","FlatStone","A","FlatStone",NA,53,"L","M",30.72,20,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,4,3,NA,"A","FlatStone","A","FlatStone",NA,54,"L","M",43.34,57,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,5,4,NA,"B","WoodSplit","B","WoodSplit",NA,55,"S","M",18.26,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,5,4,NA,"E","TankWall","A","FlatStone",NA,83,"S","M",20.93,4,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,5,4,NA,"A","FlatStone","B","WoodSplit",NA,57,"M","M",24.22,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,5,4,NA,"A","FlatStone","A","FlatStone",NA,58,"M","M",27.18,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,5,4,NA,"B","WoodSplit","B","WoodSplit",NA,59,"L","M",31.65,23,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,5,4,NA,"B","WoodSplit","A","FlatStone",NA,60,"L","M",35.61,28,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,6,5,NA,"B","WoodSplit","A","FlatStone",NA,61,"S","M",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,6,5,NA,"B","WoodSplit","A","FlatStone",NA,86,"S","M",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,6,5,NA,"A","FlatStone","A","FlatStone",NA,63,"M","M",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,6,5,NA,"B","WoodSplit","B","WoodSplit",NA,64,"M","M",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,6,5,NA,"B","WoodSplit","A","FlatStone",NA,65,"L","M",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,6,5,NA,"B","WoodSplit","A","FlatStone",NA,66,"L","M",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",3,1,5,NA,"B","WoodSplit","A","FlatStone",NA,61,"S","M",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",3,1,5,NA,"B","WoodSplit","B","WoodSplit",NA,86,"S","M",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",3,1,5,NA,"B","WoodSplit","B","WoodSplit",NA,63,"M","M",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",3,1,5,NA,"B","WoodSplit","A","FlatStone",NA,64,"M","M",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",3,1,5,NA,"B","WoodSplit","A","FlatStone",NA,65,"L","M",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",3,1,5,NA,"A","FlatStone","A","FlatStone",NA,66,"L","M",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
