"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
5,2,8,18,"S","M",2025-10-15,"L1","B","BrickConcrete",20.91,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
5,2,8,19,"M","F",2025-10-15,"L1","A","BrickWood",25.35,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
5,2,8,20,"M","F",2025-10-15,"L1","C","BrickConcrete",26.52,11,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,9,21,"M","M",2025-10-15,"L1","D","BrickConcrete",24.01,9,7,2,2,25.39,9,7,2,2,NA,NA
6,2,9,22,"M","M",2025-10-15,"L1","B","BrickWood",28.55,17,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,9,23,"M","M",2025-10-15,"L1","A","BrickConcrete",24.46,10,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,9,24,"M","M",2025-10-15,"L1","B","BrickWood",28.59,15,8,1,2,NA,NA,NA,NA,NA,NA,NA
6,2,9,25,"M","M",2025-10-15,"L1","A","BrickConcrete",26.55,13,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,9,26,"M","M",2025-10-15,"L1","E","TankWall",23.62,8,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,9,27,"M","M",2025-10-15,"L1","A","BrickConcrete",26.75,13,5,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,9,28,"M","M",2025-10-15,"L1","C","BrickWood",29.36,17,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,9,29,"M","M",2025-10-15,"L1","B","BrickWood",29.46,17,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,2,9,30,"M","M",2025-10-15,"L1","D","BrickConcrete",26.95,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,3,9,21,"M","M",2025-10-16,"L1","E","TankWall",25.39,9,7,2,2,NA,NA,NA,NA,NA,NA,NA
