"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
4,2,3,49,"S","M",NA,"L0","A","FlatStone",21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
4,2,3,49,"S","M",NA,"L1","B","WoodSplit",21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
4,2,3,79,"S","M",NA,"L0","A","FlatStone",20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
4,2,3,79,"S","M",NA,"L1","A","FlatStone",20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
4,2,3,51,"M","M",NA,"L0","E","TankWall",25.56,12,7,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
4,2,3,51,"M","M",NA,"L1","A","FlatStone",25.56,12,7,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
4,2,3,52,"M","M",NA,"L0","B","WoodSplit",25.55,10,6,1,2,NA,NA,NA,NA,NA,NA,"Moulted"
4,2,3,52,"M","M",NA,"L1","B","WoodSplit",25.55,10,6,1,2,NA,NA,NA,NA,NA,NA,"Moulted"
4,2,3,53,"L","M",NA,"L0","A","FlatStone",30.72,20,8,2,NA,NA,NA,NA,NA,NA,NA,NA
4,2,3,53,"L","M",NA,"L1","A","FlatStone",30.72,20,8,2,NA,NA,NA,NA,NA,NA,NA,NA
4,2,3,54,"L","M",NA,"L0","A","FlatStone",43.34,57,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,2,3,54,"L","M",NA,"L1","A","FlatStone",43.34,57,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,2,4,55,"S","M",NA,"L0","B","WoodSplit",18.26,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA
5,2,4,55,"S","M",NA,"L1","B","WoodSplit",18.26,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA
5,2,4,83,"S","M",NA,"L0","E","TankWall",20.93,4,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,2,4,83,"S","M",NA,"L1","A","FlatStone",20.93,4,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,2,4,57,"M","M",NA,"L0","A","FlatStone",24.22,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,2,4,57,"M","M",NA,"L1","B","WoodSplit",24.22,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,2,4,58,"M","M",NA,"L0","A","FlatStone",27.18,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
